freq,texto,texto2,grupo
1,Perseguiu,perseguiu,NP00V00
1,Petisca,petisca,NP00V00
1,Peça,peça,NP00V00
1,Peço,peço,NP00O00
1,Pinhão,pinhão,NP00G00
1,Pintos_Coelhos,pintos_coelhos,NP00SP0
1,Pobre,pobre,NP00SP0
1,Poderá,poderá,NP00V00
1,Podes,podes,NP00V00
1,Pois_Nossa_Senhora,pois_nossa_senhora,NP00V00
1,Prendam,prendam,NP00V00
1,Primo_Baltasar,primo_baltasar,NP00SP0
1,Procura,procura,NP00V00
1,Professe,professe,NP00V00
1,Promete,promete,NP00V00
1,Príncipe_Regente,príncipe_regente,NP00SP0
1,Pudesse,pudesse,NP00SP0
1,Queluz,queluz,NP00G00
1,Querem,querem,NP00V00
1,Queres,queres,NP00V00
1,R,r,NP00O00
1,Refletem,refletem,NP00V00
1,Relação,relação,NP00O00
1,Relação_Simão_Antônio,relação_simão_antônio,NP00V00
1,Remédios_de_Lamengo,remédios_de_lamengo,NP00V00
1,Ribeira,ribeira,NP00G00
1,Ritinha,ritinha,NP00SP0
1,Robespierre,robespierre,NP00V00
1,Rua,rua,NP00G00
1,Rua_de_S._Bento,rua_de_s._bento,NP00G00
1,Saber,saber,NP00SP0
1,Saint-Just,saint-just,NP00V00
1,Sansão,sansão,NP00SP0
1,Santíssima_Trindade,santíssima_trindade,NP00V00
1,Satanás,satanás,NP00SP0
1,Sebastião_José_de_Carvalho,sebastião_josé_de_carvalho,NP00SP0
1,Senhor_João,senhor_joão,NP00SP0
1,Senhora,senhora,NP00SP0
1,Senhora_D._Maria,senhora_d._maria,NP00SP0
1,Senhora_D._Maria_I,senhora_d._maria_i,NP00SP0
1,Senhora_D._Rita,senhor_d._rita,NP00SP0
1,Senhora_de_Almudena,senhora_de_almudena,NP00SP0
1,Senhora_de_os_Remédios,senhora_de_os_remédios,NP00G00
1,Senta,senta,NP00SP0
1,Sente,sente,NP00V00
1,Separam,separam,NP00V00
1,Ser-me-ás,ser-me-ás,NP00V00
1,Serei,serei,NP00SP0
1,Seria,seria,NP00V00
1,Serra-do-Pilar,serra-do-pilar,NP00G00
1,Será,será,NP00V00
1,Sete-Estrelo,sete-estrelo,NP00V00
1,Significa,significa,NP00V00
1,Simão_Antônio_Botelho,simão_antônio_botelho,NP00SP0
1,Sintra,sintra,NP00V00
1,Sobe,sobe,NP00V00
1,Sobreiras,sobreiras,NP00V00
1,Sofra,sofra,NP00V00
1,Solor,solor,NP00G00
1,Sou,sou,NP00G00
1,Sou,sou,NP00O00
1,Soube,soube,NP00G00
1,Sousa,sousa,NP00G00
1,Sr._Baltasar,sr._baltasar,NP00SP0
1,Sócrates,sócrates,NP00SP0
1,Tadeu_de_Albuquerque_Ainda,tadeu_de_albuquerque_ainda,NP00SP0
1,Tenho,tenho,NP00G00
1,Teresa_Clementina,teresa_clementina,NP00SP0
1,Teresa_Clementina_de_Albuquerque,teresa_clementina_de_albuquerque,NP00SP0
1,Teresa_Margarida_Preciosa_Caldeirão_Castelo-Branco,teresa_margarida_preciosa_caldeirão_castelo-branco,NP00SP0
1,Teresa_Margarida_Preciosa_de_a_Veiga_Caldeirão_Castelo_Branco,teresa_margarida_preciosa_de_a_veiga_caldeirão_castelo_branco,NP00SP0
1,Teresa_de_Albuquerque,teresa_de_albuquerque,NP00SP0
1,Terás,terás,NP00V00
1,Teve,teve,NP00V00
1,Tive,tive,NP00V00
1,Tome,tome,NP00G00
1,Universidade_de_Coimbra,universidade_de_coimbra,NP00O00
1,Vais,vais,NP00SP0
1,Vais,vais,NP00V00
1,Vales,vales,NP00G00
1,Valongo,valongo,NP00G00
1,Veja,veja,NP00O00
1,Vejo,vejo,NP00V00
1,Vendi,vendi,NP00V00
1,Veneza,veneza,NP00V00
1,Ver-me-ias,ver-me-ias,NP00V00
1,Vieram,vieram,NP00V00
1,Vila-Real,vila-real,NP00G00
1,Vila-Real-de-Trás-os-Montes,vila-real-de-trás-os-montes,NP00V00
1,Vilão,vilão,NP00SP0
1,Viseu_Simão,viseu_simão,NP00V00
1,Viso-Rei,viso-rei,NP00V00
1,Vista,vista,NP00G00
1,Vive,vive,NP00V00
1,Vou,vou,NP00O00
1,Vou,vou,NP00SP0
1,Vulcano,vulcano,NP00SP0
1,Vê,vê,NP00SP0
1,Vê-la-ia,vê-la-ia,NP00V00
1,Vênus,vênus,NP00V00
1,alveitar,alveitar,NP00V00
1,beijar-lhe,beijar-lhe,NP00V00
1,brandando,brandando,NP00V00
1,cariciosamente,cariciosamente,NP00V00
1,chibança,chibança,NP00V00
1,ciumosa,ciumosa,NP00V00
1,escravada,escravada,NP00V00
1,flores,flores,NP00SP0
1,hóspeda,hóspeda,NP00V00
1,ignominosa,ignominosa,NP00V00
1,lacrimosamente,lacrimosamente,NP00V00
1,lo-ia,lo-ia,NP00V00
1,mar,mar,NP00G00
1,melanc6lico,melanc6lico,NP00V00
1,pingoleta,pingoleta,NP00V00
1,ramos,ramos,NP00SP0
1,sambra,sambra,NP00V00
1,seiscentas,seiscentas,NP00V00
1,sem-cerimônia,sem-cerimônia,NP00V00
1,senhor_Cruz,senhor_cruz,NP00SP0
1,senhor_João_de_a_Cruz,senhor_joão_de_a_cruz,NP00SP0
1,senhor_Simão_Botelho,senhor_simão_botelho,NP00SP0
1,senhor_Tadeu_de_Albuquerque,senhor_tadeu_de_albuquerque,NP00SP0
1,senhora_D._Ana_Amália,senhor_d._ana_amália,NP00SP0
1,senhora_D._Rita_Emília_de_a_Veiga_Castelo_Branco,senhor_d._rita_emília_de_a_veiga_castelo_branco,NP00SP0
1,senhora_D._Rita_Preciosa,senhor_d._rita_preciosa,NP00SP0
1,senhora_D._Ritinha,senhor_d._ritinha,NP00SP0
1,senhora_D._Teresa,senhor_d._teresa,NP00SP0
1,senhora_D._Teresinha_de_Viseu,senhor_d._teresinha_de_viseu,NP00SP0
1,senhora_Josefa,senhor_josefa,NP00SP0
1,senhora_Mariana,senhor_mariana,NP00SP0
